u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-2.378,-2.3609,-0.8492,-0.7676,-0.6005,-0.5776,0.4807,0.5185,0.7867,1.0071,1.0694,1.0885,D00882_A07AC01
-2.3903,-2.3751,-0.8524,-0.7802,-0.6939,-0.6017,0.4852,0.7535,0.9705,1.0118,1.0878,1.0882,D00882_D01AC02
-2.3857,-2.3703,-0.8425,-0.7779,-0.6072,-0.5974,0.4831,0.7469,0.9417,1.0087,1.0813,1.0834,D00882_G01AF04
-2.381,-2.3562,-0.8396,-0.7642,-0.6098,-0.6007,0.4768,0.5836,1.0091,1.0127,1.0737,1.0889,D00882_J02AB01
-2.3575,-2.3483,-0.8237,-0.7744,-0.6113,-0.5965,0.4655,0.7864,0.9129,1.0046,1.0637,1.0825,D00882_S02AA13
-5.3881,-5.359,-5.358,-4.7235,-4.5872,-4.4006,2.3428,2.3745,2.3966,2.4153,3.0055,3.0565,D00884_A01AB10
-5.3879,-5.3592,-5.3586,-4.7276,-4.5871,-4.4015,2.3435,2.3748,2.3961,2.4193,3.0055,3.0569,D00884_A07AA03
-5.389,-5.3609,-5.3575,-4.7098,-4.5859,-4.4065,2.3575,2.3776,2.3936,2.4036,2.9946,3.0083,D00884_D01AA02
-5.3862,-5.3629,-5.3592,-4.7059,-4.5863,-4.3993,1.9473,2.3653,2.392,2.3945,3.0034,3.047,D00884_G01AA02
-5.3875,-5.3591,-5.3584,-4.7244,-4.5871,-4.4005,2.3421,2.3742,2.397,2.4082,3.0057,3.0561,D00884_S01AA10
-9.4559,-9.4276,-6.0959,-6.0366,-5.323,-5.3122,2.8891,3.2129,3.4099,3.4213,3.6062,5.3628,D07068_A01AB12
-9.2631,-9.165,-6.138,-6.0218,-5.3321,-5.3299,2.9301,2.9846,3.0276,3.1305,3.3267,5.3575,D07068_G01AX16
-5.9982,-5.7445,-5.2453,-4.6104,-4.589,-4.2116,1.9932,2.2024,2.2871,2.5041,2.9153,3.3979,D00201_A01AB13
-5.9971,-5.7453,-5.2505,-4.6094,-4.594,-4.2091,1.994,2.2027,2.276,2.5084,2.9161,3.4257,D00201_D06AA04
-5.9985,-5.7419,-5.2385,-4.6123,-4.5866,-4.2073,1.9946,2.2031,2.2928,2.5018,2.9184,3.4038,D00201_J01AA07
-5.9888,-5.7454,-5.2413,-4.609,-4.5953,-4.2106,1.9965,2.2031,2.2863,2.4909,2.9125,3.451,D00201_S01AA09
-5.9968,-5.7483,-5.2403,-4.61,-4.5946,-4.2103,1.9947,2.2036,2.2687,2.5083,2.9168,3.4475,D00201_S02AA08
-5.9857,-5.7456,-5.2407,-4.6132,-4.5943,-4.21,1.9956,2.2034,2.2838,2.4918,2.9121,3.4367,D00201_S03AA02
-5.9979,-5.7456,-5.2396,-4.6125,-4.5888,-4.21,1.9942,2.2034,2.2805,2.5059,2.917,3.4235,D02122_A01AB13
-5.9947,-5.7441,-5.2478,-4.61,-4.5945,-4.2101,1.996,2.2041,2.2903,2.5107,2.9158,3.4373,D02122_D06AA04
-5.9972,-5.7433,-5.2402,-4.6085,-4.5944,-4.2102,1.9946,2.2048,2.2819,2.5122,2.9173,3.4225,D02122_J01AA07
-5.9963,-5.7477,-5.2399,-4.6121,-4.5903,-4.2097,1.9932,2.203,2.27,2.5057,2.9158,3.4299,D02122_S01AA09
-5.9925,-5.7436,-5.239,-4.6136,-4.5892,-4.2099,1.9952,2.2022,2.2881,2.472,2.9144,3.4358,D02122_S02AA08
-5.9957,-5.7413,-5.2445,-4.6121,-4.5888,-4.2093,1.9957,2.1997,2.2925,2.5039,2.9133,3.4299,D02122_S03AA02
-6.0238,-4.7583,-4.6932,-4.6692,-2.0316,-2.0158,1.7051,1.8224,1.8334,1.8455,2.5693,3.2062,D07069_A01AB14
-6.0309,-4.7581,-4.6886,-4.6809,-2.0269,-2.0045,1.671,1.8307,1.8384,1.8398,2.5734,3.1985,D07069_D08AJ05
-4.7749,-4.7317,-4.7135,-4.6845,-3.7179,-2.1254,1.4428,1.4466,1.4635,1.6865,1.8759,2.1919,D02712_A01AB15
-5.6578,-4.5999,-1.9385,-1.9241,-1.8275,-1.6588,1.027,1.0631,1.2375,1.2673,2.0529,2.5218,D00409_A01AB17
-5.6511,-4.6059,-1.9481,-1.9263,-1.8352,-1.7106,1.034,1.0653,1.2012,1.3464,2.0498,2.5347,D00409_D06BX01
-5.6955,-4.5983,-1.935,-1.9232,-1.8242,-1.6874,1.0256,1.0625,1.259,1.2811,2.0603,2.5171,D00409_G01AF01
-5.6926,-4.598,-1.9357,-1.9246,-1.8248,-1.6794,1.0256,1.063,1.249,1.2767,2.0593,2.5186,D00409_J01XD01
-5.6659,-4.6069,-1.9392,-1.9229,-1.8288,-1.6237,1.0296,1.0619,1.2102,1.2299,2.0589,2.5231,D00409_P01AB01
-5.6557,-4.6259,-2.415,-2.3495,-1.9404,-1.9199,1.1627,1.1657,1.2967,2.0237,2.0595,2.5415,D05016_A01AB17
-5.6958,-4.6004,-1.9409,-1.9246,-1.8303,-1.6625,1.0333,1.0642,1.254,1.2727,2.0538,2.5306,D05016_D06BX01
-5.6952,-4.5982,-1.9351,-1.9236,-1.8242,-1.6892,1.0255,1.0624,1.2615,1.2784,2.0603,2.517,D05016_G01AF01
-5.649,-4.6281,-2.349,-2.2901,-1.9411,-1.9209,1.129,1.1686,1.2679,2.0003,2.0594,2.5324,D05016_J01XD01
-5.6751,-4.6242,-2.4123,-2.3922,-1.9363,-1.921,1.1421,1.1676,1.2966,2.0498,2.062,2.5353,D05016_P01AB01
-10.5522,-10.5507,-10.2484,-7.5229,-5.6958,-4.6045,2.9505,2.9855,3.0397,3.4948,5.0918,5.1243,D05017_A01AB17
-10.5448,-10.5339,-10.2675,-7.5396,-5.7138,-4.6359,2.9945,2.9953,3.0065,3.4616,5.0676,5.0901,D05017_D06BX01
-10.5506,-10.5473,-10.2347,-7.5059,-5.6626,-4.6078,3.0137,3.0219,3.0546,3.4476,5.0712,5.0789,D05017_G01AF01
-10.5345,-10.5302,-10.2515,-7.5278,-5.6599,-4.6523,3.0124,3.0429,3.4638,3.7195,5.0878,5.1008,D05017_J01XD01
