u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-4.4982,-3.7039,-3.701,-3.6076,-3.6074,-2.9652,1.8176,1.8323,1.8338,1.8618,2.3188,2.3216,D07324-01
-6.0273,-4.647,-4.6032,-4.5931,-4.5924,-4.4773,1.5632,1.5694,1.5789,1.6033,1.613,2.9041,D07378-01
-9.6242,-8.8262,-5.0148,-4.8172,-3.8812,-3.6436,2.1084,2.2173,2.2861,2.3892,2.877,5.2778,D07733-01
-6.8168,-4.9409,-4.939,-3.8739,-2.8073,-2.6616,2.0006,2.4263,2.5334,3.4796,3.4934,3.4994,D06236-01
-6.0328,-6.0318,-4.6233,-4.6132,-4.602,-4.5892,1.5774,1.5798,1.6002,2.3616,2.3618,4.6329,D08636-01
-13.0956,-13.0489,-9.34,-9.3315,-9.3288,-9.3277,5.189,5.3242,5.3264,5.3272,5.3292,5.3364,D08005-01
-3.2382,-2.0747,-1.6501,-1.3067,-0.6932,-0.6179,0.4789,0.5479,0.5887,0.6019,0.6107,1.4572,D05518-01
-6.395,-5.791,-5.1634,-4.8845,-4.4952,-3.0396,2.2671,2.3,2.3338,2.4154,2.8648,3.7753,D09867-01
-10.0633,-10.0505,-4.1547,-4.1533,-4.1503,-2.9797,2.2506,2.2865,2.2918,2.3358,3.0479,5.3538,D08275-01
-6.0283,-4.6078,-4.5979,-4.5916,-4.2104,-3.8554,1.565,1.5695,1.5785,1.978,2.6547,2.6673,D09914-01
-7.5456,-7.3987,-5.6724,-5.415,-5.0382,-4.5269,2.3396,2.7021,3.0915,3.2142,3.8724,4.589,D06196-01
-13.6942,-13.2436,-13.2434,-12.7533,-12.7525,-12.3327,5.9013,6.0954,6.1045,7.3407,10.7626,11.3709,D08647-01
-6.1551,-5.9693,-4.6938,-4.6929,-4.4243,-3.8256,1.885,1.9139,2.0387,2.0925,2.3394,2.7091,D08207-01
-4.9114,-3.441,-3.1444,-2.3481,-1.776,-1.6534,0.7958,0.8561,1.0098,1.5766,2.5511,2.8479,D06383-01
-4.1632,-4.1609,-3.6922,-3.1515,-2.8873,-2.6353,1.5473,1.6705,1.9437,1.9758,2.427,3.796,D05516-01
-4.4305,-3.6396,-3.0571,-3.0123,-1.9127,-1.7209,0.994,1.0623,1.1803,1.4108,1.4634,1.5699,D07973-01
-5.7922,-5.7902,-4.8864,-3.7526,-3.5296,-1.9317,2.2618,2.263,2.2651,2.2654,2.3809,3.5439,D05085-01
-9.2263,-9.0856,-9.0839,-4.5347,-1.5606,-1.3667,1.4752,1.5035,2.362,2.764,2.7739,3.7704,D06560-01
-5.704,-5.6973,-4.3568,-4.3435,-2.8944,-2.1915,1.5632,1.5685,1.5738,1.745,1.9963,3.008,D05691-01
-4.1223,-2.8819,-1.6835,-1.2736,-1.1926,-1.0777,0.7101,1.0294,1.094,1.1163,1.5712,1.7436,D05226-01
-4.2794,-4.1126,-4.1117,-2.9958,-2.8841,-2.8833,1.1195,1.2387,1.5251,1.542,1.5432,2.1108,D07529-01
-4.3726,-3.64,-2.6847,-2.3257,-2.0521,-1.9373,1.1568,1.2897,1.4868,1.9651,2.1064,2.2001,D07981-01
-2.917,-2.1411,-1.3635,-1.212,-1.1497,-1.0928,0.5627,0.6958,0.8046,1.2728,1.2865,1.385,D07714-01
-6.0264,-5.8777,-4.6438,-4.6387,-2.3018,-1.7495,1.5766,1.5973,1.6813,1.8425,1.8499,1.9901,D08648-01
-7.5595,-7.5554,-6.0314,-5.3447,-4.7789,-4.609,2.3428,2.372,2.5029,2.6241,2.6596,2.9961,D05979-01
-8.5054,-8.3717,-8.3611,-4.5325,-4.5095,-4.1129,2.5322,2.6819,2.7486,2.7678,3.4791,12.2216,D06295-01
-9.6233,-8.8277,-3.6399,-2.858,-2.1854,-1.2271,1.2134,1.3075,1.4115,1.7176,1.977,5.2713,D09804-01
-10.3245,-9.0875,-9.0774,-8.5123,-8.373,-8.3689,2.919,3.0849,3.0882,3.1228,3.4836,3.9343,D05736-01
-1.9159,-1.9152,-1.1319,-1.1318,-0.9922,-0.8953,0.5061,0.6183,0.7368,0.8178,0.8182,1.8154,D06424-01
-6.0302,-6.0294,-4.6272,-4.6232,-4.6204,-4.612,1.5805,1.7413,1.745,1.9493,2.6137,3.9996,D05485-01
-4.4237,-4.189,-4.1885,-4.1882,-3.8265,-3.354,1.2555,1.3547,1.4648,1.5334,1.8484,2.6761,D09009-01
-4.4208,-3.5304,-3.3777,-3.3707,-2.3316,-1.7622,1.46,1.4801,1.5686,1.5839,2.0002,2.1539,D05067-01
-10.7982,-10.7864,-10.78,-10.7789,-3.4476,-3.055,1.8616,1.8726,2.0312,2.6211,5.3191,5.322,D05130-01
-4.4176,-3.8517,-3.6981,-2.8367,-1.1333,-1.0046,0.5465,0.8425,0.9884,1.2942,1.4959,2.622,D09388-01
-12.0897,-12.088,-12.0813,-4.5985,-4.5973,-0.6657,2.1751,2.2994,2.3034,3.7806,3.8292,3.858,D05581-01
-5.1837,-5.1833,-5.1425,-5.1423,-5.0547,-5.0539,1.7963,1.7971,1.8544,1.8549,2.2432,4.1681,D05138-01
-9.6226,-8.8248,-3.921,-3.9157,-3.153,-3.1411,2.0469,2.0628,2.1873,2.297,2.4665,5.2402,D05122-01
-9.6228,-8.8277,-5.4807,-5.4798,-5.4797,-4.8691,2.7095,2.9224,3.0706,3.1433,3.2315,5.2998,D09351-01
-7.6271,-6.1744,-5.3354,-4.9333,-4.9075,-4.9007,2.3796,2.7414,3.0165,3.1146,3.5375,4.0296,D07794-01
-9.3176,-9.314,-4.4051,-3.8512,-3.699,-2.509,1.827,2.0877,2.1008,2.618,2.6261,5.3343,D07413-01
-15.247,-9.3264,-9.2932,-3.8278,-3.4116,-3.406,2.5287,3.2694,3.7145,3.8286,3.8722,4.2857,D08859-01
-10.7861,-10.7797,-10.6178,-10.6117,-10.6096,-3.9584,2.7808,3.8218,3.824,3.8253,3.9661,5.3683,D07644-01
-4.7919,-2.501,-2.4986,-2.3036,-2.3034,-1.1325,1.0901,1.6741,1.6809,1.7942,1.9562,2.0529,D05661-01
-4.5824,-3.4629,-3.2108,-1.6,-1.2429,-1.1973,0.8707,0.9631,0.9819,1.1685,1.54,1.9903,D05219-01
-9.3181,-9.3152,-5.3677,-5.366,-5.3636,-4.8478,2.6447,2.6717,2.6939,2.8937,3.3223,5.3355,D06027-01
-6.0859,-5.3049,-5.2454,-4.5171,-3.8869,-3.4504,1.6394,1.6612,1.6971,2.0236,2.5553,2.6399,D07914-01
-12.1924,-8.1685,-8.1656,-6.2631,-2.3326,-2.3315,3.7137,3.7148,3.7211,3.7215,3.8674,3.8726,D08486-01
-6.6609,-6.0398,-5.0764,-5.0711,-4.2214,-4.2205,2.0371,2.0378,2.0654,2.1501,2.6158,2.9041,D05172-01
-6.0323,-4.6013,-4.5956,-4.5883,-4.1149,-2.8826,1.5433,1.5662,1.5677,1.5713,1.5759,1.6379,D08448-01
-3.601,-1.3375,-1.176,-0.9953,-0.7746,-0.7716,0.5435,0.5777,0.6079,0.7407,0.9173,0.9208,D08954-01
-4.1529,-4.1528,-4.1517,-3.6998,-3.6948,-2.86,1.0557,1.1692,1.4251,1.5583,1.6973,1.8931,D06231-01
-3.9301,-3.9246,-1.9373,-1.9343,-1.9329,-1.9322,0.9985,1.0015,1.1248,1.3588,1.3618,1.5784,D08545-01
-5.8225,-5.8189,-4.4409,-4.4341,-3.8343,-3.3296,1.5995,1.6003,1.802,1.9832,1.9983,3.0572,D07463-01
-6.0343,-5.2423,-5.1494,-4.5815,-4.5779,-3.676,1.5511,1.6466,1.6478,1.7413,2.1421,2.3895,D07867-01
-9.625,-8.8238,-3.0187,-3.0136,-3.0129,-1.0845,0.8151,0.8169,0.8507,0.9572,1.003,5.2715,D06438-01
-6.1518,-6.0103,-4.7086,-4.6988,-1.4756,-1.0018,1.5036,1.6168,1.6334,1.8747,1.9019,2.0738,D07460-01
-5.4413,-5.4402,-5.3727,-4.2238,-4.2179,-4.1001,1.6962,1.9745,2.1002,2.2783,2.8884,3.6648,D05159-01
-3.6427,-3.0134,-2.3238,-1.8515,-1.1797,-0.9274,0.6716,0.7579,0.7994,0.9784,1.4552,1.6737,D07783-01
-5.7005,-5.6944,-4.3608,-4.3438,-2.8901,-2.2011,1.562,1.5702,1.5713,1.7444,1.986,3.1502,D08315-01
-4.0444,-3.6499,-3.4171,-3.0735,-2.5491,-2.5486,1.2595,1.3979,1.5376,2.2644,2.2694,2.6903,D08044-01
